term,title,link,authors,abstract,ch_abstract,tags,publish_date
risk control,A Gradient Descent-Ascent Method for Continuous-TimeRisk-Averse OptimalControl,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4588364,Gabriel Velho,"In this paper, we consider continuous-time stochastic optimal control problems where the cost is evaluated through a coherent risk measure. We provide an explicit gradient descent-ascent algorithm which applies to problems subject to non-linear stochastic differential equations. More specifically, we leverage duality properties of coherent risk measures to relax the problem via a smooth min-max reformulation which induces artificial strong concavity in the max subproblem. We then formulate necessary conditions of optimality for this relaxed problem which we leverage to prove convergence of the gradient descent-ascent algorithm to candidate solutions of the original problem. Finally, we showcase the efficiency of our algorithm through numerical simulations involving trajectory tracking problems and highlight the benefit of favoring risk measures over classical expectation.",本文研究了连续时间随机最优控制问题，其成本通过一致性风险度量进行评估。我们提出了一种显式的梯度下降-上升算法，适用于受非线性随机微分方程约束的问题。具体而言，我们利用一致性风险度量的对偶特性，通过平滑的极小-极大重构来松弛原问题，从而在极大子问题中引入人工强凹性。随后，我们为该松弛问题建立了最优性必要条件，并借此证明梯度下降-上升算法能收敛至原问题的候选解。最后，我们通过轨迹跟踪问题的数值模拟验证了算法的有效性，并突显了采用风险度量相较于传统期望准则的优势。,"Gradient descent-ascent, Coherent risk measures, Stochastic optimal control, Non-linear Control, Risk-averse control",2023-09-30
risk control,Application of arisk-based approach in organization of internalcontrolinriskmanagement system of mortgage credit lending,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4021462,Venelin Terziev,"The need of organization and the importance of internal control in a credit institution, which would guarantee high level of reliability corresponding to the nature and scale of operations carried out, is enshrined in Russian legislation. The key aspect of internal control in a credit institution is application of a riskbased approach and this article considers the possibility of applying a risk-based approach in organization of internal control in risk management system of mortgage credit lending. The risk-based approach in internal control helps assess possible risks in achieving the strategic and tactical objectives of control institutions and develop proposals for their adjustments. The research studies the possibility and potential positive outcome of applying the risk-based approach on all stages of the internal control in risk management system of mortgage credit lending.",俄罗斯立法规定了信用机构对组织的需求及内部控制的重要性，以确保其开展业务的性质和规模对应高水平的可靠性。信用机构内部控制的关键在于采用基于风险的方法，本文探讨了在抵押贷款风险管理体系的内部控制组织中应用基于风险方法的可能性。基于风险的内部控制方法有助于评估控制机构在实现战略和战术目标过程中可能面临的风险，并提出调整建议。研究探讨了在抵押贷款风险管理体系内部控制的各个阶段应用基于风险方法的可能性及潜在积极成果。,"Internal control, Management, Stages of the control event, Monitoring, Risk-based approach, Efficiency, Mortgage credit lending",2022-01-30
risk control,RiskContributions from Generic User-Defined Factors,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=930034,Attilio Meucci,"We draw on regression analysis to decompose volatility, VaR and expected shortfall into arbitrary combinations or aggregations of risk factors and we present a simple recipe to implement this approach in practice.",我们利用回归分析将波动率、风险价值（VaR）和预期短缺分解为风险因素的任意组合或聚合，并提出了一种在实践中实施这一方法的简单方案。,"risk attribution, marginal contributions, Euler identity, risk factorization, volatility, tracking error, expected shortfall, positive homogeneous risk measures, principal component analysis, regression analysis",2008-09-22
risk control,Correlation Between Intensity and Recovery in CreditRiskModels,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=916090,Raquel M. Gaspar,"There has been increasing support in the empirical literature that both the probability of default (PD) and the loss given default (LGD) are correlated and driven by macroeconomic variables. Paradoxically, there has been very little effort from the theoretical literature to develop credit risk models that would include this possibility. The goals of this paper are: first, to develop the theoretical reduced-form framework needed to handle stochastic correlation of recovery and intensity, proposing a new class of models; second, to understand under what conditions would our class of models reflect empirically observed features and, finally, to use concrete model from our class to study the impact of this correlation in credit risk term structures.  We show that, in our class of models, it is possible to model directly empirically observed features. For instance, we can define default intensity and losses given default to be higher during economic depression periods - the well-know credit risk business cycle effect. Using the concrete model we show that in reduced-form models different assumptions - concerning default intensities, distribution of losses given default, and specifically their correlation - have a significant impact on the shape of credit spread term structures, and consequently on pricing of credit products as well as credit risk assessment in general. Finally, we propose a way to calibrate this class of models to market data, and illustrate the technique using our concrete example using US market data on corporate yields.",实证文献中越来越多的证据表明，违约概率（PD）与违约损失率（LGD）存在相关性，且两者均受宏观经济变量驱动。然而矛盾的是，理论文献却鲜少尝试构建包含这种可能性的信用风险模型。本文目标有三：首先，建立处理回收率与违约强度随机相关性的理论简化形式框架，提出新模型类别；其次，探究该模型类在何种条件下能反映实证观察到的特征；最后，通过具体模型研究这种相关性对信用风险期限结构的影响。我们证明，该模型类可直接刻画实证观察到的特征。例如，能定义经济萧条时期更高的违约强度与违约损失率——即众所周知的信用风险经济周期效应。通过具体模型展示：在简化形式模型中，关于违约强度、违约损失率分布及其相关性的不同假设，会显著影响信用利差期限结构的形态，进而影响信用产品定价及整体信用风险评估。最后，我们提出基于市场数据校准此类模型的方法，并运用美国公司债券收益率市场数据进行实例演示。,"Credit risk, sistematic risk, intensity models, recovery, credit spreads",2006-07-17
risk control,Regulatory Capital and AssetRiskTransfer,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4221205,Kyeonghee Kim,"We explore whether life insurers use a unique reinsurance arrangement to manage assets tied to their regulatory capital. Typical reinsurance allows insurers to reduce their regulatory capital by transferring liabilities (reserves), and the associated assets, to reinsurers. With modified coinsurance, insurers maintain control of their assets and liabilities while transferring regulatory capital requirements to the reinsurer. Holding fixed an insurer’s reported capital, we find that modified coinsurance allows insurers to report higher risk-based capital ratios. Insurers with modified coinsurance are less likely to fire sale downgraded bonds. We also find suggestive evidence of regulatory arbitrage, as most modified coinsurance is purchased from reinsurers in countries with low capital requirements or within the same insurance group.",我们探讨寿险公司是否利用一种独特的再保险安排来管理与其监管资本相关的资产。传统再保险允许保险公司通过将负债（准备金）及相关资产转移给再保险人来降低监管资本要求。而在修正共保模式下，保险公司在将监管资本要求转移给再保险人的同时，仍保留对自身资产和负债的控制权。在保持保险公司账面资本不变的情况下，我们发现修正共保能使保险公司报告更高的风险资本比率。采用修正共保的保险公司更少出现降级债券抛售现象。我们还发现监管套利的迹象——大多数修正共保交易要么来自资本要求较低国家的再保险人，要么发生在同一保险集团内部。,"corporate bonds, life insurance, modified coinsurance, reinsurance, risk-based capital",2022-09-27
risk control,RiskGovernance and BankRiskof Public Commercial Banks of OECD,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4739102,Muddassar Malik,"This study investigates the impact of risk governance on bank risk within the Organisation for Economic Co-operation and Development (OECD) public commercial banks. Utilizing Knight’s (1921) distinction between risk and uncertainty, it emphasizes the roles of key figures like bank directors, the chief risk officer (CRO), and the chief financial officer (CFO) in risk management. The research employs multivariate regression analysis and principal component analysis (PCA) to reveal a positive correlation between risk governance and the Tier 1 capital ratio, indicating that effective governance leads to reduced bank risk and increased financial stability. This finding is consistent with Aebi et al.’s (2012) study on risk management and bank performance. These results underscore the crucial role of robust risk governance in banking, suggesting that enhanced governance practices can significantly mitigate risks. The study contributes to the existing literature by providing empirical evidence supporting the quantification of risk through governance mechanisms, aligning with, and enriching current theoretical frameworks. While highlighting the importance of these findings, the study also acknowledges its limitations, such as potential endogeneity issues, and suggests directions for future research to expand the understanding of risk governance’s impact on bank behavior, including the exploration of additional variables and the integration of qualitative methodologies. This research holds significant implications for banking institutions and regulatory bodies, advocating for a deeper examination of risk governance strategies in banking.",本研究探讨了经济合作与发展组织（OECD）公共商业银行中风险治理对银行风险的影响。基于奈特（1921）对风险与不确定性的区分，研究重点分析了银行董事、首席风险官（CRO）和首席财务官（CFO）在风险管理中的角色。通过多元回归分析和主成分分析（PCA），研究发现风险治理与一级资本充足率呈正相关，表明有效治理能降低银行风险并增强金融稳定性。这一发现与Aebi等人（2012）关于风险管理与银行绩效的研究结论一致。研究结果凸显了健全风险治理在银行业中的关键作用，表明强化治理实践可显著降低风险。本研究通过提供支持治理机制量化风险的实证证据，补充并丰富了现有理论框架。在强调这些发现重要性的同时，研究也承认其局限性（如潜在的内生性问题），并为未来研究指明了方向，包括探索更多变量及整合定性方法，以深化对风险治理影响银行行为的理解。该研究对银行机构和监管机构具有重要启示，倡导更深入地审视银行业风险治理策略。,"Risk Governance, Bank Risk, Tier 1 Capital Ratio, OECD Banks",2024-04-12
risk control,Beyond Data Protection to Command andControl(C2) Sustainability in a Post-COVID19 World: Execution of U.S. Data Protection Act for U.S. Data Protection Agency; U.S. Data Protection Act Proposal by US Senator for New York Kirsten Gillibrand,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3581454,Yogesh Malhotra,"The current article about execution of the Data Protection Act (DPA) proposal was sent a week before the State of New York state wide shut-down due to the global COVID-19 coronavirus pandemic to Senator Kirsten Gillibrand, the US Senator from the State of New York who had proposed the DPA. The article underscored the need to advance the focus of its execution beyond ex-post reactive penalization of respective firms for compromise of privacy of personal information by firms 'storing' such data to focus on ex-ante Sustainability and Survival material to individuals. There were two specific issues underlying the above recommendations. First, it is not just about storage of such 'entrusted' data but if and how such data was 'exploited' by the trusted firms to Command & Control the Survival and Sustainability of respective individuals. Second, in most cases, those firms may not even be responsible for such compromise of individual data entrusted to them given that they are themselves subject to being 'hacked' by third parties. Hence, to solve the more critical systemic problem encompassing all individuals and firms, we need to build and stress-test systems to preempt and prevent such 'hacking' attacks in addition to the proposed normative compliance measures. Essentially, for Sustainability and Survival of individual Command & Control (C2), we need to focus on developing and deploying Adversarial C2 systems to stress test the robustness of C2 systems as well as Counter-Adversarial C2 to counter the adversarial threats.The specific focus of global networked systems, infrastructures, and networks that can get impacted in global systemic exponential cascading attacks given the inter-connectivity of networks and often endogenous nature of such attacks was compared with analogous global contagion risks of COVID-19 and their global and national 'spread' that all are monitoring. Over the subsequent few weeks, the COVID-19 global pandemic had unfolded with major adverse impacts evident across public health, global financial and economic, and, global geopolitical, national defense and security, and, related socioeconomic domains. The Survival & Sustainability of Systems at all levels which is at stake and the respective critical significance of Command & Controls - spanning global, national, organizational, individual, and, even human cellular levels of analysis – are being recognized worldwide as never before on the COVID-19 pandemic threats and vulnerabilities ""global theater"". The respective role of such Command & Controls that are the most essential defining attributes of all Self-Adaptive Systems and their self-identity, self-regulation, and, self-determination are also being recognized in terms of determining the Sustainability and Survival of the respective Systems at all levels. For preempting and preventing future similar global threats such as COVID-19, we need to develop and deploy Adversarial C2 systems to stress test the robustness of C2 for respective Systems as well as Counter-Adversarial C2 to counter the adversarial threats. Our Global Post AI-Quantum, Finance & FinTech, Command & Control Network ventures, United States Air Force (USAF) Air Force Research Lab (AFRL) Commercialization Academy ventures, AIMLExchange.com, BRINT.com, and C4I-Cyber.com fulfill the above global missions.Author(s) retain copyright of the submitted paper (Please view the Copyright Notice of JIFM: http://www.journal-of-insurance-and-financial-management.com/index.php/JIFM/about/submissions#copyrightNotice).Pre-Print of the Journal of Insurance and Financial Management Research Paper Publication:Malhotra, Yogesh. Beyond Data Protection to Command and Control (C2) Sustainability in a Post-COVID19 World: Execution of U.S. Data Protection Act for U.S. Data Protection Agency; U.S. Data Protection Act Proposal by US Senator for New York Kirsten Gillibrand, Journal of Insurance and Financial Management. Vol. Vol. 7, Issue 4 (2023) pp. 66-87.Submitted 21 Dec 2022Accepted 23 Dec 2022Available online 16 Jan 2023:https://journal-of-insurance-and-financial-management.com/index.php/JIFM/issue/view/Journal%20of%20Insurance%20and%20Financial%20Management-Vol.7-Issue.4 .© Copyright Dr. Yogesh Malhotra, www.YogeshMalhotra.com. All Rights Reserved, 2022.www.YogeshMalhotra.com : Global Risk Management Network, LLC, New Hartford, New York 13413, U.S.AKeywords: Risk Management, Command & Control, Adversarial Command & Control, Counter-Adversarial Command & Control, Survival & Sustainability, Systems, Cyber Security, Network Security, Pandemic, COVID-19, Coronavirus, Contagion, Cascading Attacks, Data Protection, Data Protection Ac,JEL Classification: A, C, E, G, P, Z, A1, B23, C00, C01, C02, C4, C5, C6, C8, C9, C10, C11, C12, C13, C14, C15, C18, C19","当前这篇关于《数据保护法案》(DPA)提案执行情况的文章，是在纽约州因全球COVID-19冠状病毒大流行而全面封锁前一周，发送给提出该法案的纽约州美国参议员柯尔斯滕·吉利布兰德的。文章强调需要将执行重点从对企业""存储""个人隐私信息泄露的事后反应性惩罚，转向事前关注关乎个人生存与可持续性的实质问题。上述建议基于两个具体问题：其一，核心不仅在于""受托""数据的存储，更在于受信企业是否及如何""利用""这些数据对个人的生存与可持续性实施""指挥与控制""；其二，多数情况下这些企业可能无需对受托数据的泄露负责，因为它们自身也面临第三方""黑客攻击""。因此，要解决这个涉及所有个体与企业的关键系统性难题，我们不仅需要推行规范合规措施，更须构建并压力测试能先发制人阻止此类黑客攻击的体系。本质上，为确保个人指挥与控制(C2)的可持续性与生存能力，我们需重点开发部署对抗性C2系统来压力测试C2系统的稳健性，以及反制对抗性威胁的反向对抗C2系统。文章特别关注了全球网络化系统、基础设施与网络在系统性指数级连锁攻击中的脆弱性——鉴于网络互联性及此类攻击常具内生性特征，这与当前全球密切监控的COVID-19类似传染风险及其国际传播形成类比。随后数周，COVID-19全球大流行迅速显现出对公共卫生、全球金融经济、地缘政治、国防安全及相关社会经济的重大冲击。在这场关乎各层级系统存续的""全球疫情威胁剧场""中，从全球、国家、组织、个体乃至人类细胞层面的指挥与控制关键作用正获得空前认知。作为所有自适应系统最本质特征的这类指挥与控制功能，其通过自我识别、自我调节与自主决策决定各层级系统存续的核心角色也正被广泛认同。为防范未来类似COVID-19的全球性威胁，我们必须开发部署对抗性C2系统来压力测试各系统的C2稳健性，并建立反向对抗C2以抵御威胁。我们全球后AI-量子金融科技指挥与控制网络企业、美国空军研究实验室商业化学院项目、AIMLExchange.com、BRINT.com及C4I-Cyber.com正致力于实现上述全球使命。作者保留提交论文的著作权（详见JIFM版权声明：http://www.journal-of-insurance-and-financial-management.com/index.php/JIFM/about/submissions#copyrightNotice）。《保险与金融管理期刊》研究论文预印本：Malhotra, Yogesh. 《后COVID19时代从数据保护到指挥与控制(C2)可持续性：美国数据保护法案执行与数据保护机构设立》；纽约州美国参议员柯尔斯滕·吉利布兰德提出的美国数据保护法案提案，《保险与金融管理期刊》第7卷第4期(2023年)第66-87页。2022年12月21日提交/2022年12月23日录用/2023年1月16日在线发布：https://journal-of-insurance-and-financial-management.com/index.php/JIFM/issue/view/Journal%20of%20Insurance%20and%20Financial%20Management-Vol.7-Issue.4 。©2022 Yogesh Malhotra博士版权所有，www.YogeshMalhotra.com。保留所有权利。www.YogeshMalhotra.com：全球风险管理网络有限责任公司，美国纽约州新哈特福德13413关键词：风险管理、指挥与控制、对抗性指挥与控制、反向对抗指挥与控制、系统存续、网络安全、疫情、COVID-19、冠状病毒、连锁攻击、数据保护法案JEL分类号：A, C, E, G, P, Z, A1, B23, C00, C01, C02, C4, C5, C6, C8, C9, C10, C11, C12, C13, C14, C15, C18, C19","Risk Management, Command & Control, Adversarial Command & Control, Counter-Adversarial Command & Control, Survival & Sustainability, Systems, Cyber Security, Network Security, Pandemic, COVID-19, Coronavirus, Contagion, Cascading Attacks, Data Protection, Data Protection Act",2020-04-21
risk control,The Power of PersonalControlin Financial Decisions UnderRisk,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4762932,Danielle Kent,"This study provides evidence from a randomized controlled incentivized experiment, and the field, that people make riskier financial decisions after experiencing helplessness. Analysis of field data suggests greater gambling expenditure after a loss of personal control as captured in large-scale longitudinal surveys. I propose a new model that builds on prospect theory to incorporate biological mechanisms that explain the power of personal control in decisions under risk. The model does not require a probability weighting function and has the advantage of being cardinal, continuous and bounded, making it highly adaptable and generally applicable. I test the model using an incentivized experiment involving 273 subjects. Inducing helplessness with a validated induction causes significantly higher risky investment compared to the control group. Results are robust controlling for baseline risk preferences, wealth effects, bounded rationality and gender. Both experimental and field data verifies that a loss of personal control is a powerful determinant of financial decisions under risk.",这项研究通过随机对照激励实验和实地数据证明，人们在经历无助感后会做出风险更高的财务决策。对实地数据的分析表明，大规模纵向调查显示，在丧失个人控制力后，人们的赌博支出会增加。我提出了一个基于前景理论的新模型，该模型结合了生物学机制，用以解释个人控制在风险决策中的影响力。该模型无需概率加权函数，并具有基数性、连续性和有界性的优势，使其具备高度适应性和普适性。我通过一项涉及273名受试者的激励实验对该模型进行了验证。采用已验证的诱导方法引发无助感后，实验组相比对照组表现出显著更高的风险投资倾向。研究结果在控制基线风险偏好、财富效应、有限理性和性别因素后依然稳健。实验与实地数据均证实，个人控制力的丧失是风险情境下财务决策的重要决定因素。,"risk, personal finance, personal control, learned helplessness, experience effects, behavioral finance",2024-03-21
risk control,"InternalControlEffectiveness, TextualRiskDisclosure, and Their Usefulness: U.S. Evidence",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4056701,Mohamed Elsayed,"This paper investigates the impact of internal control effectiveness (ICE) on the level of textual risk disclosure (TRD; including aggregate risk disclosure and its tone of good news and bad news about risk). Our findings suggest that firms with an ineffective internal control system exhibit significantly lower levels of TRD than firms with effective internal controls. Besides, we show a significant change in TRD behavior provided by managers of firms with recurrent ineffective internal controls. Pursuant to agency theory, this behavior change is prompted to reduce the expected public uncertainty and agency problems. We also investigate the usefulness of ICE reporting and TRD to the market. Results suggest that firms reporting ineffective internal controls are likely to have higher investor-perceived risk than firms reporting effective internal controls. Furthermore, TRD improves firms’ market liquidity, and such improvement is principally driven by good news rather than bad news about risk. Collectively, our results fill an apparent gap in the literature on the importance of ICE, as well as the usefulness of the external auditor’s attestation on a firm’s internal controls and management TRD.",本文研究了内部控制有效性（ICE）对文本风险披露水平（TRD，包括总体风险披露及其关于风险的好消息和坏消息语气）的影响。研究发现，与内部控制有效的企业相比，内部控制无效企业的TRD水平显著较低。此外，我们发现内部控制反复无效的企业管理层会显著改变其TRD行为。根据代理理论，这种行为改变旨在降低预期的公众不确定性和代理问题。我们还探讨了ICE报告和TRD对市场的实用性。结果表明，与报告内部控制有效的企业相比，报告内部控制无效的企业可能面临更高的投资者感知风险。此外，TRD能提升企业的市场流动性，且这种改善主要源于关于风险的好消息而非坏消息。总体而言，我们的研究填补了现有文献关于ICE重要性、外部审计师对企业内部控制的鉴证作用以及管理层TRD实用性的明显空白。,"SOX, Internal control, textual risk disclosure, risk-related tones, market liquidity, investor-perceived risk",2022-04-18
risk control,Controlof RelationalRiskin Offshore Accounting and Finance Outsourcing: Case Evidence from UK and India,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1533345,Brian Nicholson,"Many companies in USA and Western Europe are taking advantage of developments in information technology and outsourcing parts of the accounting process to vendors in other parts of the world. Offshore outsourcing of accounting presents some unique risks, control problems and challenges. In this paper we focus on the control of relational risk, a form of risk concerned with the potential for an outsourcing partner's opportunistic behaviour. Drawing on multiple case studies of global outsourcing relationships involving India based vendors and clients in UK, this paper identifies relational risks and the controls adopted by vendors and clients. It is argued that the findings have more general implications for the management of offshore outsourcing of administrative functions.",美国和西欧的许多公司正利用信息技术的发展，将部分会计流程外包给世界其他地区的供应商。会计离岸外包带来了一些独特的风险、控制问题和挑战。本文重点关注关系风险的控制，这类风险涉及外包合作伙伴机会主义行为的潜在可能。通过研究以印度供应商和英国客户为主的全球外包关系多案例，本文识别了关系风险及供需双方采取的控制措施。研究结果对行政职能离岸外包管理具有更广泛的启示意义。,"Outsourcing, Risk, Control, India",2010-01-10
risk control,"Adaptive Firm Structure under Market Competition: Efficiency, Incentives, andRiskControl",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2605298,Tiangle Song,"This paper presents a theory on how firm structure responds to market competitiveness. Firms have often been observed to reallocate control rights, sometimes in response to market competition. We develop a theory on the dependence of firm structure on market competition using an incomplete contract approach. We show that a reallocation of control rights can be an effective way of adapting to changing market competitiveness. We find that when market competitiveness changes, depending on demand elasticity, firms may centralize or decentralize control rights to encourage work incentives or to control risk. We present a few case studies in support of this result. We also investigate the effect of changing demand elasticity and production cost on firm structure, as well as the effect of market competition on efficiency, incentives and risk control after taking into account the endogenous, competition-driven firm structure.",本文提出了一种关于企业结构如何响应市场竞争力的理论。我们经常观察到企业会重新分配控制权，有时是为了应对市场竞争。我们运用不完全契约方法，构建了一个关于企业结构依赖于市场竞争的理论。研究表明，控制权的重新分配可以成为适应市场竞争环境变化的有效方式。我们发现当市场竞争力发生变化时，根据需求弹性差异，企业可能通过集权或分权来激励工作积极性或控制风险。文中提供了若干支持这一结论的案例研究。我们还探讨了需求弹性和生产成本变化对企业结构的影响，以及在考虑内生性、竞争驱动的企业结构后，市场竞争对效率、激励和风险控制的作用。,"adaptive firm structure, market competition, incomplete contract, control rights, income rights, efficiency, incentives, risk control",2015-05-12
risk control,Research on Key Issues inRiskAssessment of IndustrialControlSystem Security Integration,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4965451,Wang Hongmin,"With the deepening integration of industrialization and informatization, Industrial Control Systems (ICS) are facing more new threats and risks while improving efficiency, and security risks affect system safety. Risk assessment is an important component of the security defense system, so it is crucial to conduct research on security risk assessment of industrial control systems.Due to the mutual influence between safety risks and security risks, simply conducting safety risk assessment or security risk assessment on the system is no longer sufficient to meet the needs of the new situation. It is urgent to conduct research on security integration risk assessment of the system.This article first systematically analyzes and judges the typical international and national standards for ICS safety, security, and security integration;Then, based on this, the key issues of the risk assessment method for industrial control system security integration were analyzed and identified: definition of security integration risk, analysis of risk propagation path, calculation of risk propagation path possibility, and quantification of security event loss value. Among them, risk definition is the foundation;Then, a comprehensive and systematic review of the research status of these four key issues was conducted,and further summarized and elevated;Finally,the current research challenges and future development directions of integrated security risk assessment were discussed.",随着工业化与信息化的深度融合，工业控制系统(Industrial Control Systems，ICS)在提升效率的同时也面临更多新的威胁与风险，安全问题影响系统安全。风险评估是安全防护体系的重要组成部分，因此开展工业控制系统安全风险评估研究至关重要。由于安全风险与安防风险之间存在相互影响，仅对系统进行安全风险评估或安防风险评估已不足以满足新形势需求，亟需开展系统安防一体化风险评估研究。本文首先对国际国内典型的ICS安全、安防及安防一体化标准进行了系统分析与研判;然后在此基础上分析并识别出工业控制系统安防一体化风险评估方法的关键问题:安防一体化风险定义、风险传播路径分析、风险传播路径可能性计算及安防事件损失值量化。其中，风险定义是基础;然后对这四个关键问题的研究现状进行了全面系统的梳理，并进一步总结与提升;最后探讨了安防一体化风险评估当前的研究难点与未来的发展方向。,"Industrial Control System Security, Security Risk Assessment, Safety Risk Assessment, Risk propagation path, Security incident losses",2024-09-25
risk control,On the CreditRiskof Secured Loans with Maximum Loan-to-Value Covenants,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1950193,Fabian Astic,"We propose a framework for analyzing the credit risk of secured loans under historical probability. We assume that the collateral cannot be liquidated immediately. Closed-form solutions for the expected loss are obtained for non-revolving loans. In the revolving case, we introduce a minimization problem with a loss function parameterized by a risk reluctance coefficient. We use stochastic control techniques to derive the Partial Integro-Differential Equation satisfied by the value function, and solve it numerically with a finite difference scheme. We exhibit optimal strategies and compare them with the standard LTV-based lending policy.",我们提出一个在历史概率下分析担保贷款信用风险的框架。假设抵押物无法立即变现。针对非循环贷款，我们获得了预期损失的闭式解。对于循环贷款情形，我们引入了一个由风险厌恶系数参数化的损失函数最小化问题。运用随机控制技术，推导出价值函数满足的偏积分微分方程，并采用有限差分法进行数值求解。我们展示了最优策略，并将其与基于贷款价值比的标准放贷政策进行比较。,"Credit risk, secured loans, illiquid asset, optimal stochastic control, HJB equation",2011-10-27
risk control,Internal AuditRiskManagement in Metropolitan Municipalities,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2815237,Christo Ackermann,"Internal audit functions (IAFs) of organisations are regarded as crucial components of the combined assurance model, alongside the audit committee, management and external auditors. The combined assurance model aims at having integrated and aligned assurance in organisations with the overall aim of maximising risk and governance oversight and control efficiencies. In this regard, internal audit plays a crucial role, insofar as it consists of experts in risk, governance and control consultancy who provide assurance to senior management and the audit committee. Audit committees are dependent on internal audit for information and their effectiveness revolves around a strong and well-resourced internal audit function which is able to aid audit committees to meet their oversight responsibilities. There is thus a growing demand for managing risk through the process of risk management and internal audit is in a perfect position to assist with the improvement of such processes. If internal auditors wish to continue being an important aspect of the combined assurance model, they need to address the critical area, amongst others, of risk management as part of their work. If not, it follows that the board, audit committees and other levels of management will remain uninformed on the status of these matters which, in turn, will negatively impact the ability of these stakeholders to discharge their responsibilities. This study therefore focuses on analysing the functioning of IAFs, with specific reference to their risk management mandate. The study followed a mixed method approach to describe internal audits risk management functioning in the big eight metropolitan municipalities in South Africa. The results show that internal audit provide a broad scope of risk management work which assist senior management in the discharge of their responsibilities. However, in the public eye, internal audits risk management functioning is scant.",组织的内部审计职能（IAFs）被视为联合保证模式中的关键组成部分，与审计委员会、管理层及外部审计机构并列。联合保证模式旨在通过整合与协调各方的保证工作，最大化组织的风险与治理监督及控制效率。在此框架下，内部审计发挥着核心作用——其由风险、治理及控制咨询领域的专家组成，为高级管理层和审计委员会提供保证服务。审计委员会依赖内部审计获取信息，其效能的发挥离不开一个资源充足、能力强劲的内部审计职能，后者能协助审计委员会履行监督职责。因此，通过风险管理流程管控风险的需求日益增长，而内部审计恰好能协助优化此类流程。若内部审计师希望持续成为联合保证模式的重要支柱，就必须将风险管理等关键领域纳入工作范畴。否则，董事会、审计委员会及其他管理层级将无法掌握这些事项的动态，进而削弱相关方履行职责的能力。本研究着重分析内部审计职能的运行机制，尤其关注其风险管理职责。研究采用混合方法，描述了南非八大都市市政当局内部审计的风险管理运作情况。结果显示，内部审计提供了广泛的风险管理工作，有效支持高级管理层履职。然而在公众视野中，内部审计的风险管理职能仍显不足。,Internal Audit; Risk Management; Public Sector; Municipalities; South Africa; Mixed Methods,2016-07-28
