term,title,link
risk management,RiskAnalysis andRiskManagementfor the Artificial Superintelligence Research and Development Process,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2807358
risk management,Financial Failures andRiskManagement,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2126472
risk management,IntegratedRiskManagementin Microinsurance,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1477272
risk management,"Cognitive-Neuromorphic Computing for AnticipatoryRiskAnalytics in Intelligence, Surveillance & Reconnaissance (ISR): ModelRiskManagementin Artificial Intelligence & Machine Learning (Presentation Slides)",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3111837
risk management,Preface to: KnowledgeManagementandRiskStrategies,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1477285
risk management,Intelligence andRiskManagement,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1318253
risk management,LiquidityRiskand Interest RateRiskon Banks: Are They Related?,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2152320
risk management,A Pragmatic-Constructivist Approach toRiskManagement,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2755513
risk management,A Short Note on Sovereign CommodityRiskManagement,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2551480
risk management,Supporting Strategic Success Through Enterprise-Wide ReputationRiskManagement,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2654295
risk management,"Beyond ModelRiskManagementto ModelRiskArbitrage for FinTech Era: How to Navigate ‘Uncertainty’...When ‘Models’ Are ‘Wrong’...And Knowledge’...‘Imperfect’! Knight Reconsidered Again:Risk, Uncertainty, & Profit Beyond ZIRP & NIRP",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2766099
risk management,"A Review onRiskManagementin Information Systems:RiskPolicy, Control and Fraud Detection",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4178697
risk management,"Book Review of CreditRisk: Pricing, Measurement, andManagement",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=600545
risk management,Incentive Based Dimensions of EnterpriseRiskManagement,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3071699
risk management,RiskManagementDisclosure by Financial Listed Companies in Vietnam,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3358774
risk management,An Empirical Study of ForexRiskManagementStrategies,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1326462
risk management,A Short Note on CorporateRiskManagement: The Case of Thyssenkrupp AG,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3110739
risk management,Applying Multi-Methods Research within the Context of ProjectRiskManagement,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3351919
risk management,Weather Derivative Pricing andRiskManagement: Volatility and Value atRisk,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=405802
risk management,"Perspectives on the Future of Work,RiskCulture Building and RadicalRiskManagement",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3627014
risk management,EnterpriseRiskManagement: History and a Design-Science Proposal,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3121377
risk management,Financial and OperationalRiskManagement: Inventory Effects in the Gold Mining Industry,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3185747
risk management,An Investigation ofRiskManagementStrategies in Projects,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3338377
risk management,TheManagementof Greek SovereignRisk,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1992228
risk management,RiskAccounting: TheRiskData Aggregation andRiskReporting (BCBS 239) Foundation of EnterpriseRiskManagement(ERM) andRiskGovernance,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2726638
risk management,A Short Note on CorporateRiskManagement: The Case of HeidelbergCement AG,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3387241
risk management,A data mining-based framework for supply chainriskmanagement,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3375328
risk management,Researchers’ Perspectives on Supply ChainRiskManagement,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1639435
risk management,EnterpriseRiskManagement: Improving EmbeddedRiskManagementandRiskGovernance,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5222904
risk management,Internal Auditing &RiskManagement,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3384658
risk management,RiskManagementand EnterpriseRiskManagement,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3891339
risk management,"Determinants of Insurers' Performance inRiskPooling,RiskManagement, and Financial Intermediation Activities",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=988991
risk management,RiskManagementin Korean Financial Institutions: Ten Years after the Financial Crisis,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1147365
risk management,Life Insurance Fraud–RiskManagementand Fraud Prevention,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2900674
risk management,Legal and Regulatory Aspects of EnterpriseRiskManagementfor Small and Medium-Sized Enterprises,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2538050
risk management,Emerging Trends inRiskReporting,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3251425
risk management,Does EnterpriseRiskManagementIncrease Firm Value?,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1829027
risk management,"Internal Auditing &RiskManagement, No. 3 (59)",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3769397
risk management,Value-Based CorporateRiskManagement,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1666384
risk management,CreditMetrics Methodology and Credit Value atRisk(Credit VaR),https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3783490
risk management,TailRiskManagementfor Multi-Asset Multi-Factor Strategies,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3329784
risk management,"RiskAnalysis for Asset Managers: Historical Simulation, the Bootstrap Approach and Value atRiskCalculation",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=251669
risk management,What is ReputationalRisk?,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4471167
risk management,RiskManagement– The Basics,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3260534
risk management,Advancing CyberRiskInsurance Underwriting ModelRiskManagementbeyond VaR to Pre-Empt and Prevent the Forthcoming Global Cyber Insurance Crisis,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3081492
risk management,AI and Machine Learning forRiskManagement,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3201337
risk management,Enterprise-WideRiskManagementBest Practices: The Critical Success Factors,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2054977
risk management,Riskand CrisisManagement: 101 Cases (Revised Edition),https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1588359
risk management,Antecedents of Proactive Supply ChainRiskManagement– A Contingency Theory Perspective,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2306644
risk management,LinkingRiskManagementto Strategic Controls: A Case Study of Tesco Plc,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1358776
risk management,Supply ChainRiskManagementin Financial Crises – A Multiple Case-Study Approach,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2304496
risk management,"Internal Auditing &RiskManagement, No. 1 (57)",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3644607
risk management,Mastering Research Writing: A Comprehensive Guide for Students and Scholars,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5198552
risk management,RiskManagementand Corporate Governance,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=441482
trade,Developing Countries in InternationalTrade2005:Tradeand Development Index,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=983944
trade,South-SouthTradein Asia: The Role of RegionalTradeAgreements,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1279373
trade,Developing Countries in InternationalTrade2007:Tradeand Development Index,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1283665
trade,Non-Tariff Measures: Evidence from Selected Developing Countries and Future Research Agenda,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1744076
trade,The WTO and PreferentialTradeAgreements: From Co-Existence to Coherence,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2563199
trade,A New Look at the ExtensiveTradeMargin Effects ofTradeFacilitation,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2511573
trade,The Shifting Contours ofTradein Knowledge: The New 'Trade-Related Aspects' of Intellectual Property,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3972110
trade,TradePolicy Under the Biden Administration,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3630422
trade,Charting the Evolving Landscape of ServicesTradePolicies: Recent Patterns of Protection and Liberalization,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2730915
trade,Trump's FirstTradeDeal: The Slightly Revised Korea-U.S. FreeTradeAgreement,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3502409
trade,DevelopingTradeRules for Services: A Case of Fragmented Coherence?,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1472053
trade,China'sTradeand Investment Relationship with Africa,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3370575
trade,Globalization andTradeFlows: What You See is Not What You Get!,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1656826
trade,The Challenges of Negotiating a TransatlanticTradeand Investment Partnership,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2228721
trade,Dynamism & Diversity in U.S.-BRICTrade,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3370567
trade,DigitalTradeAgreements and Domestic Policy,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3828112
trade,"Trips Encounters the Internet: An Analogue Treaty in a Digital Age, or the FirstTrade2.0
Agreement?",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2713086
trade,Methodology of U.S.-China-Hong Kong Triangular MerchandiseTradeStatistic Reconciliation,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3371281
trade,The Effects ofTradeAgreements onTrade: Asymmetric Partners and Types of Agreements,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4207163
trade,TradeJustice Delayed isTradeJustice Denied,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3490661
trade,FreeTradein Environmental Goods: TheTradeRemedy Problem,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2430407
trade,Tradeand Water: How MightTradePolicy Contribute to Sustainable Water Management?,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2856593
trade,DigitalTradein China and its Implications,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4196222
trade,Structural Changes in the Korea-China ProcessingTrade,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4200958
trade,FreeTradeand Tobacco: Thank You for Not Smoking (Foreign) Cigarettes,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2225313
trade,Three Generations of DigitalTradeProvisions in PreferentialTradeAgreements,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4813802
trade,China's ProcessingTrade: Trends and Implications,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4207169
trade,Structural Changes in Korea-ChinaTradeand Policy Implications,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4315627
trade,"Global Data Flows x 'DigitalTradeLaw': Instruments, Institutions, and Infrastructures",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5138693
trade,Structural Changes in Korea-ChinaTradeand Policy Implications,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4445134
trade,International Regulation and Treatment ofTradeFinance: What are the Issues?,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1561623
trade,U.S. Soybean Exports to China Crushed Amid RisingTradeTensions,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3443445
trade,The Sustainability of Trump'sTradePolicies,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4199839
trade,Reassessing Effective Protection Rates in aTradein Tasks Perspective: Evolution ofTradePolicy in 'Factory Asia',https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2145447
trade,Towards a New Balance ofTradein Agriculture,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1440124
trade,How to DesignTradeAgreements in Services: Top Down or Bottom Up?,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2283168
trade,US-ChinaTradeWar: Opportunities for India,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3922017
trade,Product R&D and InternationalTradeUnder Bertrand Competition,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3206113
trade,The Interface Between theTradeand Climate Change Regimes: Scoping the Issues,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1742803
trade,"Harnessing PublicTradeFinance to Foster a Green Economy in Developing Countries: 
Current State of Play and Way Forward",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2748473
trade,Augmenting MSME Participation inTradewith Policy Digitalisation Efforts: Chile’s Contribution to ‘An Internet of Rules’,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3930412
trade,An Empirical Study onTradeClaim Management from a Relational Perspective,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3514403
trade,The Value of Domestic Subsidy Rules inTradeAgreements,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1513927
trade,Green(er)Tradein Services,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5009139
trade,"The Nexus between InternationalTrade, FDI and Income Inequality",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3671105
trade,TradeLiberalization and Informality: New Stylized Facts,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1596030
trade,RegionalTradeAgreements andTradeCosts in Services,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2691497
trade,Can the WorldTradeOrganization Ensure that International Food Aid is Genuine?,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2369724
trade,A Handbook on Negotiating PreferentialTradeAgreements: Services Liberalization,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2984091
trade,Comparative Intra-IndustryTradeAnalysis on the Asymmetric Effects of the FTA: Korea and MENA Countries,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3310174
trade,User Manual and Handbook on AgriculturalTradePolicy Simulation Model (ATPSM),https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1281524
trade,General Oligopolistic Equilibrium (GOLE) inTrade,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3554825
trade,The Contribution of ServicesTradePolicies to Connectivity in the Context of Aid forTrade,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3036946
trade,"State-Owned Enterprises Play a Smaller, But Still Strategic, Role in China's External Sector",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3370582
trade,WorldTradeand Income Remain Exposed to Gravity,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2689508
trade,Impacts ofTradeFacilitation,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3506674
trade,(New) EU Standards in Preferential ServicesTradeLiberalization,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4427294
trade,"Enabling ""Code is Law"": Computational Approaches toTradeand Data Regulation",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4552434
trade,Preliminary Assessment of the Economic Impacts of a Canada-Korea FreeTradeAgreement,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1549551
trade,"Elevating Services: ServicesTradePolicy, WTO Commitments, and their Role in Economic Development andTradeIntegration",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3358775
trade,WTOTradeMonitoring Ten Years on - Lessons Learned and Challenges Ahead,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3418819
trade,Main Industrial andTradeIssues of 2024: Analysis and Countermeasures,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4885105
trade,DigitalTradein Asia,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4157406
trade,An Analysis of Korea’s Environmental GoodsTradeto China and its Policy Implications,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4204517
trade,StrategicTradePolicies Under International Process R&D Competition With or Without Market Leaders,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3609584
trade,How to StrengthenTradeFacilitation Reforms,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3506680
trade,"The Importance ofTradeSecrets: New Directions in InternationalTradePolicy Making
and Empirical Research",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2893319
trade,The Impact of ICT on ServiceTrade,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3641493
trade,Status of Bangladesh-MyanmarTradeNegotiations,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1369863
trade,Patterns of Vertical Intra-IndustryTradeConsidering Differences in Quality: The South Korean Case,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4210983
trade,ServicesTradeLiberalisation in the Australia – EU FTA: Progress but no Quantum-Leap,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3867170
trade,Firm Lobbying and EUTradePolicy Making: Reflections on the Anti-Dumping Case Against Chinese and Vietnamese Shoes (2005-2011),https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1959804
trade,Plans for the Reorganization of Korea's Rules of Origin System Preparation for the Unification ofTradebetween the South and North,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2999215
trade,Strategic ProtectiveTradePolicy Under Asymmetric Information,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3310185
trade,Reality Check: The Lack of Consensus on NewTradeRules to Govern the Digital Economy,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3672889
trade,The ‘Equivalent’ Standard in WTO Arbitrations ofTradeRemedy Disputes,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3809456
trade,AccumulatingTradeCosts and Competitiveness in Global Value Chains,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2906866
trade,"Implementing the African Continental FreeTradeArea: A Simple, Scalable, and Fast Computational Approach for Algorithmic Governance",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4275358
trade,Is IntraregionalTradean Opportunity for Industrial Upgrading in East Africa?,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4198650
trade,"ServicesTrade, Distance, and the Internet",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4467509
trade,Addressing Negative Effects ofTradeLiberalization: Unilateral and Mutually Agreed Flanking Policies,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5008713
trade,Tradein Health Products: ReducingTradeBarriers for Better Health,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2955559
trade,A Novel Framework to Evaluate Changes in Access to and Costs ofTradeFinance,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4466671
trade,Bleak Prospects: MappingTradeUnion Membership in Europe Since 2000,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3450613
trade,One Year into the TTIP Negotiations: Getting to Yes,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2549394
trade,Lessons Learned and Challenges Ahead for the WTOTradeMonitoring Exercise,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3733641
trade,Tradein Sustainable Energy Services,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2342717
trade,To Select Appropriate Mode of Partnership in InternationalTrade,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3465989
trade,"Tradein Financial Services, Financial Crisis and Development Implications: What is Important and What Has Changed?",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2008662
trade,PaperlessTradein RegionalTradeAgreements,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4097830
trade,TradeImbalances and MultilateralTradeCooperation,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2198789
trade,International Supply Chains andTradeElasticity In Times of Global Crisis,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1548424
trade,Ph.D Thesis: Психологічні чинники розбудови кар’єри в торгівлі (Psychological Factors Influencing Career Development inTrade),https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4149888
trade,Binding Constraints toTradeExpansion: Aid forTradeObjectives and Diagnostics Tools,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1521409
trade,A Legal-Technical Basis for a Computational TransatlanticTradeand Investment Partnership (TTIP) Agreement,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4448009
trade,The Economic Interest Test in UKTradeRemedy Investigations,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4388540
trade,RecentTradeDynamics in Asia: Examples from Specific Industries,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3274570
trade,Is the Doha Round Over? The WTO's Negotiating Agenda for 2016 and Beyond,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2784917
trade,"Trade, Policy, and Economic Development in the Digital Economy",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3956638
trade,World-TradeGrowth Accounting,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2768041
